match_id,name,backfill,role,character_sequence,ultimates_used,eliminations,assists,deaths,damage,healing,mitigation,afilliation,first_pick,second_pick,third_pick,fourth_pick
15,LeedleLee,No,Damage,Cassidy,2,19,0,3,5960,0,103,Friendly,Cassidy,,,
15,LTGunman,No,Damage,Ashe,2,11,0,1,4780,0,0,Friendly,Ashe,,,
15,Benimaru,No,Support,"Illari, Lucio",2,11,11,3,3087,4465,210,Friendly,Illari,Lucio,,
15,Zomj12,No,Support,"Ana, Illari ",2,11,11,1,2556,5688,496,Friendly,Ana,Illari ,,
15,Ocutxbmv,No,Tank,"Reinhardt, Ramattra, Orisa",2,6,2,10,3844,0,10360,Opponent,Reinhardt,Ramattra,Orisa,
15,BarnabyJones,No,Damage,"Ashe, Reaper",1,4,0,4,3120,141,0,Opponent,Ashe,Reaper,,
15,Drill,Yes,Damage,"Tracer, Torbjorn",1,3,0,2,2498,0,187,Opponent,Tracer,Torbjorn,,
15,Selchie,No,Support,"Illari, Mercy",2,1,4,3,1390,6010,0,Opponent,Illari,Mercy,,
15,Naga,No,Support,Ana,2,6,6,3,1802,6801,1314,Opponent,Ana,,,
16,StupidClown,No,Tank,"Orisa, Winston",1,2,0,6,2383,0,4131,Friendly,Orisa,Winston,,
16,lucioos,No,Damage,"Echo, Mei",1,1,0,7,2323,637,1297,Friendly,Echo,Mei,,
16,Mighty,No,Damage,"Ashe, Soldier: 76, Widowmaker",1,4,0,7,1987,204,0,Friendly,Ashe,Soldier: 76,Widowmaker,
16,HulkSmash,No,Support,"Illari, Kiriko",1,1,1,7,775,2758,0,Friendly,Illari,Kiriko,,
16,NightKnight,No,Support,"Zenyatta, Moira",1,5,1,7,2996,2292,0,Friendly,Zenyatta,Moira,,
16,BigBlackDogs,No,Damage,Sojourn,1,23,4,2,5107,0,0,Opponent,Sojourn,,,
16,FireBalBlitz,No,Tank,Doomfist,3,27,7,1,5591,0,3266,Opponent,Doomfist,,,
16,PlagueDoctor,No,Support,Ana,2,11,16,1,1075,4077,140,Opponent,Ana,,,
